################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         1         96   1.2235676420808827E-10   3.8482851699825670E-03   4.3172574974727771E-04   4.3890413423078268E-04
         1         97   1.1939944576858992E-08   1.8310960829171774E-03   1.7804990331395405E-04   2.7631220040536588E-04
         1         98   0.0000000000000000E+00   7.7345340549385877E-04   5.4368683185881807E-05   1.6321234440754782E-04
         1         99   0.0000000000000000E+00   2.7340707114031969E-04   1.1629450995954500E-05   1.9348889759173872E-05
         1        100   2.6580898806651310E-17   1.7780183657714889E-04   2.1281425111150535E-06   7.9299171849385970E-06
         1        101   1.2463728853154138E-07   7.0907238091742842E-03   1.3197672955782653E-03   1.0786033263578796E-03
         1        102   2.0956360889869195E-03   3.2973382027842321E-02   7.4868129244685068E-03   4.7919751141996718E-03
         1        103   1.7059738312862926E-08   5.0611014236026626E-03   1.1445926297133004E-03   8.7655251388570250E-04
         1        104   0.0000000000000000E+00   3.5458511100253400E-03   9.9669191612200211E-04   7.7664445572465132E-04
         1        105   2.0495275608877035E-05   4.8886171621806297E-03   1.2659307051119297E-03   9.0945545192356615E-04
         1        106   9.4479420900041926E-06   1.9519087772769977E-02   3.8023679045484171E-03   3.4591513347772915E-03
         1        107   0.0000000000000000E+00   6.3564882523982971E-03   1.6444852959455073E-03   1.2052358949188977E-03
         1        108   8.0374282669995391E-04   1.8092691894142525E-02   5.2498449771318616E-03   2.8229789536174834E-03
         1        109   2.1687942424751212E-05   5.3463954196319363E-03   1.2883354086388498E-03   9.4097922022522216E-04
         1        110   0.0000000000000000E+00   1.3158164325666685E-03   2.0107998588184969E-04   1.9000459116777906E-04
         1        111   8.5070609958827266E-10   2.1967261679673019E-03   3.6253806798927391E-04   3.5007383023737582E-04
         2          1   1.8561776861459958E-02   2.9060846608411156E-01   1.2170841154165529E-01   6.0685338751663633E-02
         2          2   6.7182634485384515E-02   5.5704967238766256E-01   2.7150635471382817E-01   1.1871461085121626E-01
         2          3   4.8325037763522903E-04   1.4111164356792480E-01   4.2581492970533825E-02   3.2304683230885881E-02
         2          4   0.0000000000000000E+00   6.2757233854012648E-02   1.2347094077713996E-02   1.4363801175132519E-02
         2          5   1.3965742523345298E-03   1.6880850089370186E-01   6.2476665087746380E-02   3.4340038100144132E-02
         2          6   2.2812319034371531E-02   6.1851184964859551E-01   2.4328580541647837E-01   1.2299332591917990E-01
         2          7   1.4768664239025672E-01   1.1436919126172682E+00   5.4429475226452517E-01   2.2984493247386431E-01
         2          8   0.0000000000000000E+00   1.4885897547397700E-01   2.4922400668663990E-02   2.9887313742936558E-02
         2          9   4.2094033326673325E-03   3.2832436398847470E-01   1.2465232686928085E-01   6.8986254344888601E-02
         2         10   5.4812091460013410E-02   9.4397579026866862E-01   3.1268074440409432E-01   1.6487158861005102E-01
         2         11   2.5101535629327543E-01   1.6241254269740875E+00   7.3015252272798703E-01   2.5111659013610860E-01
         2         12   0.0000000000000000E+00   1.9323693492323069E-01   3.5614619369988242E-02   4.8660851066266053E-02
         2         13   2.5562047033091759E-02   9.3311921569453427E-01   3.0513933919485109E-01   1.4047995116918230E-01
         2         14   9.1970445617980396E-15   4.9104830041568165E-01   8.9951887226846022E-02   9.8769285761138179E-02
         2         15   0.0000000000000000E+00   1.9358137365265851E-01   3.6914725343483348E-02   6.5115790883421232E-02
         2         16   1.1402213487172789E-03   3.9295670353162787E-01   1.2890798530265701E-01   8.2024712245730935E-02
         2         17   1.1674088462993906E-03   8.2379429040806551E-01   2.5135728227417242E-01   1.8049976655812450E-01
         2         18   9.6024897245167745E-02   1.2854730979595064E+00   7.6465815946264415E-01   2.3531641932986225E-01
         2         19   1.5252277502100775E-28   3.2697250528866684E-01   8.1051323490826679E-02   9.9925761829172940E-02
         2         20   0.0000000000000000E+00   2.3161964882448507E-01   1.8915816714098851E-02   4.5966123955316310E-02
         2         21   1.3062853858447808E-07   4.2469928828820364E-01   9.3469264440700306E-02   9.4705433162365141E-02
         2         22   5.0153911361721570E-08   6.7818245783976761E-01   1.2045303917692758E-01   1.2798092797782243E-01
         2         23   5.3147212674082824E-02   1.0843054940500598E+00   5.6151065241641618E-01   2.0583415675627911E-01
         2         24   1.5494323775149610E-54   3.3332113636631616E-01   6.5353624884833428E-02   1.0328296097819747E-01
         2         25   0.0000000000000000E+00   1.8962370368128975E-01   8.7286462426891479E-03   3.1933743271761607E-02
         2         26   5.0241250324126671E-16   5.7063993260994639E-01   7.1529136027746909E-02   1.4478655736136323E-01
         2         27   7.6336736868165114E-05   9.5192267091377714E-01   5.3866968494458956E-01   2.2675123193945804E-01
         2         28  6.1765473743714004E-102   3.2231270978084281E-01   7.2523482388986676E-02   1.2615546782539980E-01
         2         29   0.0000000000000000E+00   3.2197389436786078E-01   1.5828929775815886E-02   6.8990421485595907E-02
         2         30   1.5936281321520013E-32   2.1482008004118716E-01   1.8808485203524964E-02   3.9441915070082587E-02
         2         31   3.9378394990502107E-11   2.9962723310331368E-01   8.7132083808502139E-02   5.2783890145477158E-02
         2         32  2.0208639852833319E-186   1.6534016418291095E-01   1.4678066957961356E-02   2.8188534112568813E-02
         2         33   2.5810789164545989E-63   4.5808560523279999E-03   1.6685095020965989E-04   3.9294681019805445E-04
         2         34   3.5472662579597642E-05   2.3436289326106531E-03   4.3799758772194731E-04   3.6964970417200646E-04
         2         35   4.7267736273332858E-04   9.1042685761758418E-03   2.6122356543232415E-03   1.8742001800159129E-03
         2         36   7.2545035798016588E-07   2.1764593897864387E-03   5.0073464005690555E-04   5.0151331636929381E-04
         2         37   0.0000000000000000E+00   8.2965718675761645E-04   1.3382814279704367E-04   1.7238713995104950E-04
         2         38   1.3116910879553626E-04   2.7375822257601442E-03   7.0245942018694254E-04   4.8998567787450150E-04
         2         39   6.3044479876182575E-05   1.0973857137571765E-02   2.7269675043868568E-03   2.2618287630741664E-03
         2         40   0.0000000000000000E+00   2.1692552720097283E-03   2.6604044322899262E-04   3.7302440494695630E-04
         2         41   2.0832746486402156E-04   4.9329791340618455E-03   1.4645957150935306E-03   1.1151909373476277E-03
