################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         28   5.1042605644503955E-03   3.0003192824185926E-02   1.2169611988511676E-02   4.9606824530095484E-03
         2         29   1.9474396275258562E-03   3.3415476979784454E-02   1.1725927983634686E-02   4.7282828063635240E-03
         2         30   1.1141628405799886E-02   1.1544176559391363E-01   4.9453425968388441E-02   2.0327518396307274E-02
         2         31   4.9081463113449710E-03   1.2332599973725460E-01   4.4501180831163591E-02   2.5488620468157173E-02
         2         32   2.9231945017861318E-03   7.4189976866682453E-02   2.9056818724885185E-02   1.1837528360584000E-02
         2         33   2.5395587743725277E-02   2.8595963519541706E-01   1.2355320024069311E-01   4.7473851500559966E-02
         2         34   2.6954527170836223E-02   2.8443238143146876E-01   1.1928715713354414E-01   5.1616167479196146E-02
         2         35   5.7427220054352762E-05   2.4784851847060060E-03   1.0849974319367582E-03   5.4542661968204082E-04
         2         36   1.5554307451799679E-03   9.3075643521935130E-03   3.9531815034717973E-03   1.3510369979690623E-03
         2         37   2.8313054567738147E-05   1.2935498971990003E-02   4.0780142296621674E-03   3.8827427606791809E-03
         2         38   1.4893690857133918E-03   2.5478332980936332E-02   1.0494973041454083E-02   4.2322237479473267E-03
         2         39   1.0904211875623054E-02   9.8653480841106034E-02   4.4175033527079383E-02   1.5824368635647977E-02
         2         40   1.4036674298479481E-02   1.1088709596672532E-01   4.8072988378459913E-02   1.8179229177389459E-02
